neighborhood_municipality,infections,reinfections,deaths,hospitalizations,pcr_tests,positive_pcr_tests,update_date
Undefined,20437,785,60,159,97494,3394,2022-04-11
Undefined (Pittsburgh),28,0,0,0,76,9,2022-04-11
Upper Hill (Pittsburgh),2072,147,6,24,3953,382,2022-04-11
Upper Lawrenceville (Pittsburgh),2547,155,3,18,5838,481,2022-04-11
Upper Saint Clair,19326,1054,37,108,40860,3834,2022-04-11
Verona,2207,147,5,36,4239,503,2022-04-11
Versailles,1392,85,10,35,2416,350,2022-04-11
Wall,507,64,4,10,730,123,2022-04-11
West Deer,10402,631,38,132,16655,1946,2022-04-11
West Elizabeth,419,40,1,3,517,90,2022-04-11
West End (Pittsburgh),206,16,0,3,365,60,2022-04-11
West Homestead,1722,144,3,27,3341,419,2022-04-11
West Mifflin,19591,1661,35,247,33777,4546,2022-04-11
West Oakland (Pittsburgh),4320,348,1,13,11441,463,2022-04-11
West View,5130,375,7,47,9187,1216,2022-04-11
Westwood (Pittsburgh),2849,175,5,33,4614,687,2022-04-11
Whitaker,1184,91,1,18,1908,297,2022-04-11
White Oak,7117,543,33,143,12486,1767,2022-04-11
Whitehall,19205,1477,74,188,31490,3210,2022-04-11
Wilkins,5373,336,15,80,10639,1157,2022-04-11
Wilkinsburg,14360,1216,48,272,31380,3135,2022-04-11
Wilmerding,1760,169,4,29,2831,356,2022-04-11
Windgap (Pittsburgh),1073,58,3,11,2132,242,2022-04-11
